zip,capital,state,lat,long
36101,MONTGOMERY,AL,32.3667,-86.3002
99801,JUNEAU,AK,58.3801,-134.1775
85001,PHOENIX,AZ,33.4486,-112.0733
72201,LITTLE ROCK,AR,34.7467,-92.2801
95814,SACRAMENTO,CA,38.5817,-121.4959
80202,DENVER,CO,39.7526,-104.9981
6103,HARTFORD,CT,41.7652,-72.672
19901,DOVER,DE,39.1576,-75.494
32301,TALLAHASSEE,FL,30.4261,-84.2517
30303,ATLANTA,GA,33.7529,-84.3924
96801,HONOLULU,HI,21.3069,-157.8584
83701,BOISE,ID,43.6139,-116.2025
62701,SPRINGFIELD,IL,39.8,-89.6503
46201,INDIANAPOLIS,IN,39.7757,-86.1096
50301,DES MOINES,IA,41.6006,-93.6087
66601,TOPEKA,KS,39.0486,-95.6778
40601,FRANKFORT,KY,38.2326,-84.8983
70801,BATON ROUGE,LA,30.4492,-91.1876
4330,AUGUSTA,ME,44.3788,-69.731
21401,ANNAPOLIS,MD,38.9934,-76.547
2108,BOSTON,MA,42.3573,-71.0645
48901,LANSING,MI,42.7327,-84.5558
55101,SAINT PAUL,MN,44.9508,-93.0836
39201,JACKSON,MS,32.2889,-90.1843
65101,JEFFERSON CITY,MO,38.4834,-92.1239
59601,HELENA,MT,46.529,-112.1225
68501,LINCOLN,NE,40.8,-96.6664
89701,CARSON CITY,NV,39.1484,-119.6629
3301,CONCORD,NH,43.2305,-71.548
8601,TRENTON,NJ,40.2167,-74.7433
87501,SANTA FE,NM,35.7091,-105.8594
12201,ALBANY,NY,42.7452,-73.8103
27601,RALEIGH,NC,35.7752,-78.6343
58501,BISMARCK,ND,46.8225,-100.719
43201,COLUMBUS,OH,39.9956,-82.9995
73101,OKLAHOMA CITY,OK,35.4678,-97.5164
97301,SALEM,OR,44.9586,-123.0026
17101,HARRISBURG,PA,40.2608,-76.8871
2901,PROVIDENCE,RI,41.8238,-71.4133
29201,COLUMBIA,SC,33.9866,-81.0248
57501,PIERRE,SD,44.5671,-100.2672
37201,NASHVILLE,TN,36.166,-86.7732
73301,AUSTIN,TX,30.2197,-97.7473
84101,SALT LAKE CITY,UT,40.7566,-111.9012
5601,MONTPELIER,VT,44.2601,-72.5759
23218,RICHMOND,VA,37.5539,-77.4608
98501,OLYMPIA,WA,46.978,-122.8735
25301,CHARLESTON,WV,38.3495,-81.6318
53701,MADISON,WI,43.0733,-89.4012
82001,CHEYENNE,WY,41.1418,-104.7792
20001,WASHINGTON,DC,38.9107,-77.0167
